ID,TEMP,HUMIDITY,TOTAL_CLOUD_COVER,L1_CLOUD_HEIGHT,L1_CLOUD_COVER,L2_CLOUD_HEIGHT,L2_CLOUD_COVER,L3_CLOUD_HEIGHT,L3_CLOUD_COVER,L4_CLOUD_HEIGHT,L4_CLOUD_COVER,DEW_POINT,MAX_WIND_SPEED,PRECIPITATION,PRECIPITATION_TYPE,PRESSURE_SEA_LEVEL,PRESSURE_STATION,VISIBILITY,WEATHER_TYPE,AVG_WIND_SPEED,AVG_WIND_DIRECTION,DIFFUSE_RADIATION,GLOBAL_RADIATION,SUNSHINE_DURATION,ZENITH,ELEVATION,AZIMUTH,TIMESTAMP,TARGET
10,14.3,82,8,530,3,880,6,1480,8,,,11.3,5.5,0.0,,1016.9,984.7,48450,123,2.8,280,73.6,82.5,0.0,40.58,49.42,116.46,2021-07-01 09:00:00+00:00,0.0
11,14.7,77,8,520,4,1090,8,4610,8,,,10.7,7.7,0.0,6,1016.9,984.7,32090,151,3.6,250,112.8,137.4,0.17,32.73,57.27,135.61,2021-07-01 10:00:00+00:00,0.0
12,13.7,80,8,570,3,740,7,980,8,,,10.4,7.6,0.0,6,1017.3,985.0,42850,123,3.8,280,43.9,48.8,0.0,27.63,62.37,161.33,2021-07-01 11:00:00+00:00,0.0
13,14.9,74,8,830,7,1030,8,,,,,10.4,6.6,0.0,,1017.4,985.2,45600,100,3.2,290,77.6,86.8,0.0,27.03,62.97,191.62,2021-07-01 12:00:00+00:00,0.0
14,16.4,71,7,760,1,1020,5,1310,7,,,11.0,6.8,0.0,6,1017.2,985.2,41500,123,3.3,270,107.0,128.3,0.07,31.2,58.8,218.89,2021-07-01 13:00:00+00:00,0.0
15,16.3,66,8,880,4,1090,7,1340,8,,,9.9,7.3,0.0,0,1017.1,985.1,48630,-1,3.4,260,120.1,150.9,0.2,38.56,51.44,239.46,2021-07-01 14:00:00+00:00,0.0
16,17.7,64,8,1480,8,,,,,,,10.8,8.4,0.0,,1017.1,985.2,47630,100,3.3,250,107.8,125.1,0.03,47.49,42.51,254.96,2021-07-01 15:00:00+00:00,0.0
17,17.2,60,8,1490,8,,,,,,,9.3,7.5,0.0,0,1017.1,985.2,52160,-1,3.8,270,101.8,131.6,0.22,57.05,32.95,267.56,2021-07-01 16:00:00+00:00,0.0
18,17.0,63,8,1440,8,,,,,,,9.9,7.7,0.0,0,1016.9,985.0,47070,-1,3.5,270,57.8,64.5,0.0,66.71,23.29,278.75,2021-07-01 17:00:00+00:00,0.0
19,16.9,65,8,1450,8,,,,,,,10.3,4.8,0.0,,1016.9,985.0,50960,100,2.4,280,28.9,32.6,0.0,76.07,13.93,289.42,2021-07-01 18:00:00+00:00,0.0
20,17.1,64,7,1490,7,,,,,,,10.4,4.5,0.0,0,1016.9,985.0,46610,-1,2.3,270,25.9,34.2,0.3,84.77,5.23,300.21,2021-07-01 19:00:00+00:00,0.0
21,15.3,74,0,,,,,,,,,10.6,2.6,0.0,0,1017.4,985.3,46750,-1,1.6,270,4.7,7.5,0.32,92.78,-2.78,311.57,2021-07-01 20:00:00+00:00,0.0
22,13.4,84,8,1370,2,6240,8,,,,,10.8,2.8,0.0,,1017.8,985.5,38880,-1,1.4,130,0.0,0.0,0.0,99.3,-9.3,323.79,2021-07-01 21:00:00+00:00,0.0
23,12.1,89,8,5420,8,6250,8,,,,,10.3,2.3,0.0,0,1018.0,985.5,34740,-1,1.3,110,0.0,0.0,0.0,104.1,-14.1,337.01,2021-07-01 22:00:00+00:00,0.0
24,12.0,93,5,5000,5,,,,,,,10.8,1.4,0.0,0,1018.0,985.5,29430,-1,0.8,210,0.0,0.0,0.0,106.77,-16.77,351.06,2021-07-01 23:00:00+00:00,0.0
25,10.8,95,0,,,,,,,,,10.1,1.6,0.0,,1018.3,985.6,20670,-1,1.0,200,0.0,0.0,0.0,107.06,-17.06,5.48,2021-07-02 00:00:00+00:00,0.0
26,10.8,97,5,1160,1,5810,5,,,,,10.4,2.6,0.0,0,1018.3,985.6,11240,-1,1.4,220,0.0,0.0,0.0,104.96,-14.96,19.66,2021-07-02 01:00:00+00:00,0.0
27,10.6,98,6,5690,5,6190,6,,,,,10.3,3.6,0.0,0,1018.2,985.5,8910,100,2.0,210,0.0,0.0,0.0,100.65,-10.65,33.11,2021-07-02 02:00:00+00:00,0.0
28,10.0,99,4,10,3,6180,4,,,,,9.8,2.5,0.0,,1018.4,985.6,1780,120,1.6,210,0.0,0.0,0.0,94.51,-4.51,45.58,2021-07-02 03:00:00+00:00,0.0
29,9.7,100,8,10,8,6580,8,,,,,9.7,2.4,0.0,0,1018.4,985.6,70,130,1.4,210,2.3,2.5,0.0,86.73,3.27,57.13,2021-07-02 04:00:00+00:00,0.0
30,10.0,100,8,10,8,,,,,,,10.0,2.0,0.0,0,1018.6,985.8,80,130,1.1,220,12.0,14.0,0.12,78.27,11.73,68.02,2021-07-02 05:00:00+00:00,0.0
31,10.8,97,8,10,7,1500,8,,,,,10.3,2.0,0.0,,1018.6,985.9,10420,120,0.8,190,35.2,39.7,0.0,69.03,20.97,78.68,2021-07-02 06:00:00+00:00,0.0
32,11.4,92,8,1080,7,1450,8,,,,,10.2,1.7,0.0,0,1018.9,986.3,19630,-1,0.9,290,43.8,49.4,0.0,59.42,30.58,89.68,2021-07-02 07:00:00+00:00,0.0
33,13.2,88,7,1140,7,,,,,,,11.2,1.5,0.0,0,1019.0,986.6,23910,-1,0.9,200,42.5,48.1,0.0,49.8,40.2,101.85,2021-07-02 08:00:00+00:00,0.0
34,14.6,78,8,1220,8,,,,,,,10.8,2.6,0.0,,1019.1,986.8,26690,-1,1.5,230,78.1,88.3,0.0,40.66,49.34,116.48,2021-07-02 09:00:00+00:00,8809.5
35,17.8,68,5,1250,3,1820,3,6240,5,,,11.8,5.4,0.0,0,1018.8,986.9,30960,-1,2.4,220,130.5,187.1,0.4,32.82,57.18,135.6,2021-07-02 10:00:00+00:00,43437.18
36,20.5,61,3,1030,1,1920,3,,,,,12.6,7.7,0.0,0,1018.4,986.8,42090,-1,4.0,220,128.0,278.1,0.9,27.71,62.29,161.28,2021-07-02 11:00:00+00:00,102821.82
37,21.5,59,7,1030,3,2080,7,,,,,13.2,8.0,0.0,,1017.9,986.4,38120,-1,4.3,210,124.8,237.4,0.55,27.09,62.91,191.51,2021-07-02 12:00:00+00:00,78491.17
38,22.0,53,7,1200,4,2210,7,,,,,12.0,7.4,0.0,0,1017.3,985.9,46020,-1,3.8,240,117.1,241.3,0.57,31.25,58.75,218.75,2021-07-02 13:00:00+00:00,84312.5
39,23.0,51,7,1260,3,1980,5,2390,7,,,12.2,7.2,0.0,0,1017.1,985.8,48150,-1,3.0,250,105.3,226.3,0.53,38.59,51.41,239.34,2021-07-02 14:00:00+00:00,78293.43
40,23.4,51,7,1340,2,2110,4,2530,7,,,12.6,7.2,0.0,,1017.0,985.8,45310,-1,3.5,250,89.9,210.4,0.58,47.51,42.49,254.84,2021-07-02 15:00:00+00:00,76270.83
41,23.1,53,8,1370,2,2070,3,2800,8,,,13.0,8.6,0.0,0,1017.2,985.9,50020,-1,3.2,250,72.1,135.7,0.43,57.07,32.93,267.46,2021-07-02 16:00:00+00:00,42597.3
42,22.8,49,5,2030,1,2800,5,,,,,11.7,5.4,0.0,0,1017.1,985.8,38020,-1,2.6,260,60.3,113.3,0.52,66.73,23.27,278.66,2021-07-02 17:00:00+00:00,31234.95
43,21.8,53,4,2080,4,,,,,,,11.7,4.1,0.0,,1016.9,985.5,43380,-1,1.9,260,37.3,81.9,0.82,76.1,13.9,289.34,2021-07-02 18:00:00+00:00,13805.26
44,20.7,63,7,8970,6,9620,7,,,,,13.5,2.6,0.0,0,1016.8,985.3,43470,-1,1.3,260,23.1,33.8,0.57,84.8,5.2,300.13,2021-07-02 19:00:00+00:00,7941.25
45,19.1,71,0,,,,,,,,,13.7,1.6,0.0,0,1017.3,985.6,43490,-1,1.1,220,8.2,11.9,0.45,92.82,-2.82,311.49,2021-07-02 20:00:00+00:00,1688.59
46,17.4,79,0,,,,,,,,,13.7,3.0,0.0,,1017.7,985.8,40650,-1,1.6,120,0.0,0.0,0.0,99.36,-9.36,323.72,2021-07-02 21:00:00+00:00,0.0
47,15.2,86,6,10190,6,,,,,,,12.9,2.4,0.0,0,1017.7,985.6,32800,-1,1.5,120,0.0,0.0,0.0,104.16,-14.16,336.95,2021-07-02 22:00:00+00:00,0.0
48,14.7,89,6,10220,5,10860,6,,,,,13.0,2.3,0.0,0,1017.9,985.7,28910,-1,1.4,120,0.0,0.0,0.0,106.84,-16.84,351.0,2021-07-02 23:00:00+00:00,0.0
49,14.5,91,8,9530,7,10090,8,,,,,13.1,3.5,0.0,,1017.6,985.4,22740,-1,1.5,40,0.0,0.0,0.0,107.14,-17.14,5.44,2021-07-03 00:00:00+00:00,0.0
50,13.8,94,2,10670,2,,,,,,,12.8,3.1,0.0,0,1017.8,985.5,22800,-1,1.4,50,0.0,0.0,0.0,105.04,-15.04,19.64,2021-07-03 01:00:00+00:00,0.0
51,12.9,94,0,,,,,,,,,12.0,1.7,0.0,0,1017.9,985.5,13200,-1,1.1,60,0.0,0.0,0.0,100.74,-10.74,33.1,2021-07-03 02:00:00+00:00,0.0
52,12.5,97,0,,,,,,,,,12.0,3.0,0.0,,1017.5,985.1,12300,-1,1.7,40,0.0,0.0,0.0,94.6,-4.6,45.58,2021-07-03 03:00:00+00:00,0.0
53,12.2,97,7,6160,3,10320,6,11010,7,,,11.8,3.7,0.0,0,1017.6,985.1,10270,-1,1.9,40,1.4,1.6,0.0,86.81,3.19,57.14,2021-07-03 04:00:00+00:00,786.09
54,12.7,95,6,5770,6,,,,,,,11.9,3.6,0.0,0,1017.2,984.8,17550,100,2.0,40,13.0,24.0,0.87,78.36,11.64,68.04,2021-07-03 05:00:00+00:00,5801.69
55,15.0,87,8,5170,8,10700,8,,,,,12.8,3.3,0.0,,1016.9,984.8,23580,100,1.7,30,29.6,72.2,1.0,69.12,20.88,78.71,2021-07-03 06:00:00+00:00,26390.15
56,16.5,80,2,5320,2,,,,,,,13.0,2.4,0.0,0,1016.8,984.8,30200,-1,1.0,50,39.0,124.7,1.0,59.51,30.49,89.71,2021-07-03 07:00:00+00:00,54142.51
57,18.4,73,3,10640,3,,,,,,,13.5,2.5,0.0,0,1016.2,984.5,33230,-1,1.0,320,40.8,179.2,1.0,49.89,40.11,101.88,2021-07-03 08:00:00+00:00,77613.83
58,20.8,62,0,,,,,,,,,13.2,2.9,0.0,,1015.7,984.2,43420,-1,1.6,320,35.7,241.8,1.0,40.75,49.25,116.51,2021-07-03 09:00:00+00:00,100363.5
59,23.7,56,0,,,,,,,,,14.4,4.8,0.0,0,1015.1,984.0,42310,-1,2.1,260,45.2,280.7,1.0,32.91,57.09,135.61,2021-07-03 10:00:00+00:00,111547.35
60,24.0,47,3,7230,3,,,,,,,11.9,5.9,0.0,0,1014.8,983.7,65130,-1,3.0,230,106.3,267.5,0.92,27.8,62.2,161.23,2021-07-03 11:00:00+00:00,84537.46
61,25.0,43,6,6960,6,8430,6,,,,,11.4,6.3,0.0,,1014.2,983.2,46390,-1,3.0,240,130.4,286.6,0.78,27.17,62.83,191.39,2021-07-03 12:00:00+00:00,108882.2
62,24.8,48,8,5980,8,,,,,,,13.0,6.9,0.0,0,1013.9,982.9,49930,-1,3.4,230,126.4,197.9,0.68,31.31,58.69,218.61,2021-07-03 13:00:00+00:00,64249.69
63,25.4,45,8,5550,8,6430,8,,,,,12.6,6.1,0.0,0,1013.6,982.7,62910,-1,3.5,210,134.8,190.7,0.53,38.63,51.37,239.2,2021-07-03 14:00:00+00:00,67793.62
64,25.1,44,8,5260,8,,,,,,,12.1,5.6,0.0,,1013.4,982.4,54270,-1,2.9,220,109.0,181.2,0.82,47.55,42.45,254.73,2021-07-03 15:00:00+00:00,56466.05
65,23.9,51,8,3940,5,5050,8,,,,,13.2,6.3,0.0,0,1013.5,982.4,59680,-1,3.2,250,81.3,105.3,0.22,57.1,32.9,267.36,2021-07-03 16:00:00+00:00,34251.53
66,23.5,50,8,3790,7,5840,8,,,,,12.6,6.4,0.0,0,1012.9,981.8,51670,-1,2.5,240,61.6,70.7,0.0,66.76,23.24,278.56,2021-07-03 17:00:00+00:00,23278.94
67,23.1,55,8,3770,7,4720,8,,,,,13.7,3.1,0.0,,1012.7,981.6,49030,-1,1.6,250,31.3,34.9,0.0,76.13,13.87,289.25,2021-07-03 18:00:00+00:00,12940.68
68,21.9,64,8,3900,6,4420,7,5790,8,,,14.7,2.3,0.0,0,1012.9,981.7,49700,-1,1.2,240,16.6,18.6,0.0,84.84,5.16,300.05,2021-07-03 19:00:00+00:00,6208.71
69,20.6,69,8,3410,8,,,,,,,14.7,2.3,0.0,0,1013.2,981.8,48060,-1,0.9,190,5.8,6.4,0.0,92.87,-2.87,311.41,2021-07-03 20:00:00+00:00,1810.62
70,20.0,72,8,3000,7,3520,8,,,,,14.9,1.3,0.0,,1013.3,981.9,43940,-1,0.8,310,0.0,0.0,0.0,99.41,-9.41,323.65,2021-07-03 21:00:00+00:00,0.0
71,19.0,77,8,1580,6,1930,6,3070,8,,,15.0,3.0,0.0,0,1013.4,981.8,42020,-1,1.3,180,0.0,0.0,0.0,104.23,-14.23,336.88,2021-07-03 22:00:00+00:00,0.0
72,18.1,85,7,1450,4,1940,7,,,,,15.5,5.2,0.7,6,1013.4,981.8,5990,162,2.5,190,0.0,0.0,0.0,106.92,-16.92,350.95,2021-07-03 23:00:00+00:00,0.0
73,16.9,91,8,1340,2,2810,6,3310,8,,,15.4,3.2,0.2,,1013.1,981.3,30820,123,1.9,160,0.0,0.0,0.0,107.23,-17.23,5.4,2021-07-04 00:00:00+00:00,0.0
74,16.6,95,5,3050,1,3940,5,,,,,15.8,2.1,0.0,0,1012.9,981.1,19700,-1,1.3,200,0.0,0.0,0.0,105.13,-15.13,19.62,2021-07-04 01:00:00+00:00,0.0
75,16.2,95,7,2110,1,8790,7,9660,7,,,15.4,3.1,0.0,0,1012.6,980.8,22890,-1,1.4,200,0.0,0.0,0.0,100.83,-10.83,33.09,2021-07-04 02:00:00+00:00,0.0
76,16.0,97,7,2310,3,4110,4,8300,7,,,15.5,2.3,0.0,,1012.6,980.8,13970,-1,1.4,210,0.0,0.0,0.0,94.69,-4.69,45.59,2021-07-04 03:00:00+00:00,0.0
77,15.8,96,7,2130,2,7760,7,10020,7,,,15.2,2.7,0.0,0,1012.6,980.7,22530,-1,1.9,210,0.9,1.1,0.0,86.9,3.1,57.16,2021-07-04 04:00:00+00:00,577.32
78,16.7,92,8,1770,1,7150,8,8010,8,,,15.4,2.7,0.0,0,1012.4,980.6,29450,-1,1.4,230,17.9,25.5,0.3,78.45,11.55,68.07,2021-07-04 05:00:00+00:00,8888.76
79,17.6,88,8,1160,7,2060,8,,,,,15.5,1.7,0.0,,1011.8,980.2,34460,-1,1.0,190,29.7,38.2,0.3,69.21,20.79,78.74,2021-07-04 06:00:00+00:00,16338.85
80,16.7,95,8,500,1,1520,4,1990,8,,,15.9,1.9,2.7,6,1011.9,980.2,5390,162,0.9,240,20.5,22.9,0.0,59.6,30.4,89.75,2021-07-04 07:00:00+00:00,6618.88
81,17.5,95,7,110,6,360,6,3060,7,,,16.6,2.5,0.7,6,1011.4,979.8,7720,161,1.2,240,42.6,48.0,0.0,49.98,40.02,101.92,2021-07-04 08:00:00+00:00,25070.14
82,18.2,90,7,150,2,420,4,2740,7,,,16.5,3.2,0.1,,1010.8,979.3,32950,123,1.7,230,75.3,88.6,0.05,40.84,49.16,116.54,2021-07-04 09:00:00+00:00,33376.84
83,18.7,88,7,370,1,2370,6,2730,7,,,16.7,4.6,0.4,6,1010.5,979.0,14580,161,2.8,210,100.0,118.0,0.07,33.0,57.0,135.62,2021-07-04 10:00:00+00:00,39987.4
84,18.2,90,8,280,2,760,7,2510,8,,,16.6,7.1,0.2,6,1010.6,979.1,42480,123,3.2,210,58.8,66.1,0.0,27.89,62.11,161.18,2021-07-04 11:00:00+00:00,22915.25
85,18.0,92,7,2670,4,3490,7,,,,,16.7,9.0,2.4,,1009.6,978.1,40950,123,3.4,170,49.3,55.6,0.0,27.25,62.75,191.27,2021-07-04 12:00:00+00:00,24122.61
86,18.9,84,8,3750,8,,,,,,,16.1,6.3,0.0,6,1009.3,977.9,69010,123,2.6,220,101.4,118.2,0.03,31.37,58.63,218.47,2021-07-04 13:00:00+00:00,50263.35
87,14.4,92,7,250,1,1580,7,3530,7,,,13.2,14.1,1.7,6,1011.5,979.5,3300,163,5.2,230,56.6,63.5,0.0,38.68,51.32,239.07,2021-07-04 14:00:00+00:00,21338.31
88,15.9,94,7,1140,1,3250,7,4370,7,,,14.9,7.1,2.0,,1010.4,978.6,56320,123,2.4,180,60.6,69.7,0.02,47.58,42.42,254.61,2021-07-04 15:00:00+00:00,37364.5
89,17.5,77,8,3990,3,5100,8,,,,,13.4,4.9,0.0,0,1010.1,978.5,75000,-1,2.8,210,105.9,151.9,0.48,57.14,32.86,267.25,2021-07-04 16:00:00+00:00,51712.49
90,18.5,76,5,5120,3,7650,5,,,,,14.3,5.3,0.0,0,1010.0,978.5,67570,-1,3.1,230,54.9,138.1,0.94,66.79,23.21,278.46,2021-07-04 17:00:00+00:00,37495.14
91,19.1,74,3,6560,3,,,,,,,14.3,7.3,0.0,,1010.3,978.8,74340,100,3.7,230,25.8,96.6,1.0,76.17,13.83,289.16,2021-07-04 18:00:00+00:00,13800.79
92,18.2,78,0,,,,,,,,,14.2,6.4,0.0,0,1010.5,978.9,63680,-1,3.2,220,12.6,50.1,0.97,84.89,5.11,299.96,2021-07-04 19:00:00+00:00,3774.93
93,17.0,87,3,1410,3,,,,,,,14.8,5.1,0.0,0,1010.9,979.2,55290,-1,2.8,210,5.7,8.0,0.2,92.92,-2.92,311.33,2021-07-04 20:00:00+00:00,1111.24
94,15.6,91,2,2440,2,,,,,,,14.2,3.8,0.0,,1011.6,979.7,52380,100,2.1,200,0.0,0.0,0.0,99.48,-9.48,323.57,2021-07-04 21:00:00+00:00,0.0
95,15.7,91,4,1450,2,1710,4,,,,,14.3,4.0,0.0,0,1011.6,979.7,51910,-1,1.9,200,0.0,0.0,0.0,104.3,-14.3,336.81,2021-07-04 22:00:00+00:00,0.0
96,15.8,91,5,1060,4,1540,5,9020,5,,,14.3,3.9,0.0,0,1011.4,979.6,51910,-1,1.9,200,0.0,0.0,0.0,107.0,-17.0,350.9,2021-07-04 23:00:00+00:00,0.0
97,15.3,95,5,1540,2,8120,5,,,,,14.5,3.1,0.0,,1011.4,979.5,40000,100,1.7,220,0.0,0.0,0.0,107.32,-17.32,5.36,2021-07-05 00:00:00+00:00,0.0
98,15.2,95,7,540,3,720,4,1850,7,,,14.4,3.2,0.0,6,1011.0,979.1,37900,123,2.2,240,0.0,0.0,0.0,105.23,-15.23,19.6,2021-07-05 01:00:00+00:00,0.0
99,15.5,93,7,450,6,630,7,1210,7,,,14.4,4.9,0.0,0,1010.8,978.9,47550,-1,3.0,220,0.0,0.0,0.0,100.93,-10.93,33.09,2021-07-05 02:00:00+00:00,0.0
100,15.9,91,7,330,7,620,7,,,,,14.4,8.0,0.0,,1010.4,978.6,54080,100,4.5,210,0.0,0.0,0.0,94.79,-4.79,45.6,2021-07-05 03:00:00+00:00,0.0
101,15.9,88,7,350,4,910,7,,,,,14.0,9.8,0.0,0,1010.8,979.0,57100,-1,4.9,220,0.6,0.7,0.0,86.99,3.01,57.18,2021-07-05 04:00:00+00:00,131.8
102,15.4,90,7,2320,7,2640,7,,,,,13.7,6.0,0.0,0,1011.0,979.1,54680,-1,3.8,230,2.9,3.3,0.0,78.55,11.45,68.1,2021-07-05 05:00:00+00:00,1419.96
103,15.5,87,6,2870,4,3460,5,4020,6,,,13.4,6.8,0.0,,1010.8,978.9,72650,100,3.3,210,14.7,16.5,0.0,69.31,20.69,78.78,2021-07-05 06:00:00+00:00,8426.31
104,16.0,87,7,330,5,2630,7,3460,7,,,13.8,5.8,0.0,6,1010.9,979.1,52640,123,3.4,210,44.6,50.2,0.0,59.69,30.31,89.79,2021-07-05 07:00:00+00:00,24874.73
105,16.9,80,7,1050,3,2600,7,3140,7,,,13.4,5.5,0.1,6,1010.3,978.6,37880,161,3.3,200,73.8,83.4,0.0,50.08,39.92,101.96,2021-07-05 08:00:00+00:00,38428.87
106,17.4,78,8,540,2,1150,7,1370,8,,,13.6,7.8,0.0,,1009.8,978.2,73270,123,3.7,190,89.0,100.5,0.0,40.94,49.06,116.58,2021-07-05 09:00:00+00:00,36670.87
107,16.7,82,8,450,2,830,7,1000,8,,,13.7,9.3,0.0,6,1009.9,978.2,38500,123,5.4,200,68.5,76.9,0.0,33.1,56.9,135.64,2021-07-05 10:00:00+00:00,35907.46
108,17.6,80,7,510,7,880,7,,,,,14.1,8.4,0.0,6,1009.4,977.8,55950,123,4.5,190,85.6,96.4,0.0,27.99,62.01,161.14,2021-07-05 11:00:00+00:00,60445.2
109,18.5,78,7,580,7,860,7,,,,,14.6,10.1,0.0,,1009.0,977.5,75000,122,6.0,190,69.7,78.5,0.0,27.33,62.67,191.16,2021-07-05 12:00:00+00:00,56117.23
110,18.3,83,8,520,5,670,7,1060,8,,,15.4,11.5,0.0,6,1009.0,977.5,28270,151,6.3,200,96.9,109.8,0.02,31.43,58.57,218.32,2021-07-05 13:00:00+00:00,46176.0
111,20.7,76,5,440,1,1570,4,2630,5,,,16.4,8.4,0.0,6,1008.5,977.3,75000,123,5.4,200,114.0,200.1,0.38,38.73,51.27,238.92,2021-07-05 14:00:00+00:00,60796.77
112,18.6,93,8,210,1,1630,6,2200,8,,,17.4,11.3,2.8,,1008.8,977.4,72610,123,5.5,220,70.7,81.6,0.05,47.63,42.37,254.48,2021-07-05 15:00:00+00:00,43688.81
113,20.1,81,7,450,3,3100,7,11490,7,,,16.7,5.4,0.0,6,1008.5,977.2,54610,122,2.9,220,88.1,146.5,0.52,57.18,32.82,267.14,2021-07-05 16:00:00+00:00,52066.36
114,19.7,85,8,590,3,2460,7,4760,8,,,17.1,3.7,0.0,6,1008.2,976.9,40380,123,1.5,230,43.3,48.7,0.0,66.84,23.16,278.36,2021-07-05 17:00:00+00:00,18396.77
115,17.5,94,8,470,3,2210,7,3880,8,,,16.6,7.4,9.1,,1008.9,977.4,46620,123,3.2,240,9.3,10.4,0.0,76.22,13.78,289.06,2021-07-05 18:00:00+00:00,4533.07
116,17.8,94,8,1260,2,3300,8,3920,8,,,16.8,4.5,0.0,0,1009.3,977.8,54820,-1,2.1,180,14.5,16.2,0.0,84.94,5.06,299.87,2021-07-05 19:00:00+00:00,3801.97
117,17.6,92,8,2010,4,2640,8,4210,8,,,16.3,3.9,0.0,0,1009.4,977.8,57770,-1,2.3,190,3.8,4.5,0.0,92.98,-2.98,311.24,2021-07-05 20:00:00+00:00,749.08
118,17.3,95,8,1630,5,2100,7,3260,8,,,16.4,2.9,0.0,,1009.7,978.1,34470,-1,1.7,170,0.1,0.1,0.0,99.55,-9.55,323.5,2021-07-05 21:00:00+00:00,0.0
119,16.6,94,4,1730,4,,,,,,,15.7,4.4,0.0,0,1009.2,977.5,43100,-1,2.1,160,0.0,0.0,0.0,104.38,-14.38,336.75,2021-07-05 22:00:00+00:00,0.0
120,16.8,92,7,1720,7,,,,,,,15.5,4.1,0.0,0,1008.6,977.0,52650,-1,2.1,160,0.0,0.0,0.0,107.1,-17.1,350.84,2021-07-05 23:00:00+00:00,0.0
121,17.1,88,0,,,,,,,,,15.1,5.6,0.0,,1007.7,976.1,52040,-1,2.8,170,0.0,0.0,0.0,107.42,-17.42,5.33,2021-07-06 00:00:00+00:00,0.0
122,17.2,86,4,9880,3,10460,4,,,,,14.9,5.9,0.0,0,1007.0,975.5,52320,-1,3.0,190,0.0,0.0,0.0,105.34,-15.34,19.58,2021-07-06 01:00:00+00:00,0.0
123,17.8,81,7,7960,5,9240,7,10450,7,,,14.5,6.9,0.0,0,1006.8,975.3,66000,-1,4.2,190,0.0,0.0,0.0,101.04,-11.04,33.09,2021-07-06 02:00:00+00:00,0.0
124,17.8,79,5,3910,4,6860,5,8340,5,,,14.2,7.3,0.0,,1006.6,975.1,60910,100,3.0,190,0.0,0.0,0.0,94.89,-4.89,45.61,2021-07-06 03:00:00+00:00,0.0
125,16.6,89,8,1770,5,4720,8,6710,8,,,14.7,2.7,0.0,0,1006.7,975.1,50010,-1,1.5,240,1.2,1.4,0.0,87.09,2.91,57.2,2021-07-06 04:00:00+00:00,856.25
126,15.5,97,8,50,1,1360,3,2780,8,,,15.0,4.2,1.4,6,1007.4,975.7,300,161,2.3,240,3.2,3.6,0.08,78.65,11.35,68.13,2021-07-06 05:00:00+00:00,1545.61
127,15.9,97,8,90,1,2100,7,2830,8,,,15.5,4.7,4.1,,1007.8,976.1,16760,161,2.5,230,4.6,5.1,0.0,69.4,20.6,78.82,2021-07-06 06:00:00+00:00,2443.88
